model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,explained_sequences,rseed,nsamples,runtime_seconds,fallback
cnn,fold_1,bear,Open_D,0.0166130972142624,0.8016528925619835,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,High_D,0.082823806252623,0.3388429752066115,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Low_D,0.1042868583594472,0.3140495867768595,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D,7.330969515528817,0.0,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D,0.0086554211473005,0.9256198347107438,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D,0.0436294900395494,0.512396694214876,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Open_W,0.1249776042483925,0.2892561983471074,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,High_W,0.5208486114461452,0.0330578512396694,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Low_W,0.2703162183710493,0.1322314049586777,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_W,0.1494515957119755,0.2727272727272727,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_W,0.0391473851962496,0.5619834710743802,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_W,0.0118908867962283,0.8677685950413223,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Open_M,0.062050230560361,0.4380165289256198,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,High_M,0.1697554707145079,0.2396694214876033,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Low_M,0.0663925842149183,0.4132231404958678,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_M,0.2192335274548102,0.1818181818181818,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_M,0.0050278888637223,0.9834710743801652,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_M,0.1516142448638605,0.2644628099173554,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag1,0.5219806253814544,0.024793388429752,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag2,0.0643523283481884,0.4297520661157025,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag3,0.2022866046318832,0.2066115702479339,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag5,0.2401338533761027,0.1570247933884297,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag10,0.0419201869178859,0.5537190082644629,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag20,0.5538985916914848,0.0082644628099173,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_D_lag60,0.4787806069030641,0.0413223140495867,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag1,0.0045668992089391,0.9917355371900828,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag2,0.0240124679613611,0.7355371900826446,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag3,0.0161490100261901,0.8099173553719008,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag5,0.0094677871508851,0.9173553719008264,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag10,0.0334908775726104,0.6198347107438017,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Change_pct_D_lag20,0.0152023109962078,0.8181818181818182,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D_lag1,0.0113130130055558,0.8842975206611571,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D_lag2,0.0266559992186639,0.6776859504132231,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D_lag3,0.0388130399953367,0.5702479338842975,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D_lag5,0.0202605551856342,0.7933884297520661,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D_lag10,0.0278692570688364,0.6611570247933884,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volume_D_lag20,0.0139582681112007,0.8429752066115702,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_W_lag1,0.5305746609201798,0.0165289256198347,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_W_lag2,0.2654536479773621,0.140495867768595,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_W_lag4,0.2042897637742452,0.1983471074380165,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_M_lag1,0.0235126773114591,0.7520661157024794,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_M_lag3,0.0572554218523108,0.4545454545454545,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Return_1D,0.011667251514291,0.8760330578512396,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Return_3D,0.0252621711747337,0.7107438016528925,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Return_5D,0.031598844679574,0.6446280991735537,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Return_10D,0.0566007754165102,0.4628099173553719,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Return_20D,0.0322863101260235,0.6363636363636364,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Return_60D,0.2163971001957319,0.1900826446280991,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,SMA_5,0.4092121241536612,0.0909090909090909,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,SMA_10,0.3813267802485289,0.1074380165289256,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,SMA_20,0.3865611091160621,0.0991735537190082,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,SMA_60,0.4339951116400651,0.0743801652892562,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_to_SMA_5,0.0054663611775542,0.9669421487603306,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_to_SMA_10,0.0068624142608171,0.9421487603305784,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_to_SMA_20,0.0032081472677506,1.0,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Close_to_SMA_60,0.0701994055513051,0.3884297520661157,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volatility_5,0.0218102636281704,0.768595041322314,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volatility_10,0.0680441332543313,0.4049586776859504,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volatility_20,0.0264419533707018,0.6859504132231405,78,78,1598879163,200,1.0483956999960355,none
cnn,fold_1,bear,Volatility_60,0.023191941629102,0.7603305785123967,78,78,1598879163,200,1.0483956999960355,none
