Date,Close_D,Open_D,High_D,Low_D,Volume_D,Change_pct_D,Close_W,Open_W,High_W,Low_W,Volume_W,Change_pct_W,Close_M,Open_M,High_M,Low_M,Volume_M,Change_pct_M,Target_Next_Close
2012-02-01,759.16,756.55,760.08,753.02,1790000.0,0.23,752.18,739.92,753.48,735.99,3050000000.0,1.71,757.45,727.22,757.45,722.68,14580000000.0,5.44,763.4
2012-02-02,763.4,763.43,769.03,762.25,1210000.0,0.56,752.18,739.92,753.48,735.99,3050000000.0,1.71,757.45,727.22,757.45,722.68,14580000000.0,5.44,768.96
2012-02-03,768.96,765.41,769.42,761.94,1070000.0,0.73,752.18,739.92,753.48,735.99,3050000000.0,1.71,757.45,727.22,757.45,722.68,14580000000.0,5.44,765.82
2012-02-06,765.82,774.3,775.68,765.82,935420.0,-0.41,768.96,751.83,769.42,749.14,6160000000.0,2.23,757.45,727.22,757.45,722.68,14580000000.0,5.44,770.95
2012-02-07,770.95,767.68,772.13,764.11,982840.0,0.67,768.96,751.83,769.42,749.14,6160000000.0,2.23,757.45,727.22,757.45,722.68,14580000000.0,5.44,783.39
2012-02-08,783.39,776.32,787.15,776.21,1400000.0,1.61,768.96,751.83,769.42,749.14,6160000000.0,2.23,757.45,727.22,757.45,722.68,14580000000.0,5.44,784.72
2012-02-09,784.72,784.24,787.65,779.31,1260000.0,0.17,768.96,751.83,769.42,749.14,6160000000.0,2.23,757.45,727.22,757.45,722.68,14580000000.0,5.44,781.21
2012-02-10,781.21,783.17,787.1,779.57,815650.0,-0.45,768.96,751.83,769.42,749.14,6160000000.0,2.23,757.45,727.22,757.45,722.68,14580000000.0,5.44,784.08
2012-02-13,784.08,782.79,786.57,781.09,762890.0,0.37,781.21,774.3,787.65,764.11,5390000000.0,1.59,757.45,727.22,757.45,722.68,14580000000.0,5.44,776.12
2012-02-14,776.12,781.86,787.35,773.24,1240000.0,-1.02,781.21,774.3,787.65,764.11,5390000000.0,1.59,757.45,727.22,757.45,722.68,14580000000.0,5.44,791.85
2012-02-15,791.85,782.11,793.21,782.11,2050000.0,2.03,781.21,774.3,787.65,764.11,5390000000.0,1.59,757.45,727.22,757.45,722.68,14580000000.0,5.44,787.13
2012-02-16,787.13,790.17,792.38,784.75,1360000.0,-0.6,781.21,774.3,787.65,764.11,5390000000.0,1.59,757.45,727.22,757.45,722.68,14580000000.0,5.44,794.86
2012-02-17,794.86,796.21,797.02,789.13,1150000.0,0.98,781.21,774.3,787.65,764.11,5390000000.0,1.59,757.45,727.22,757.45,722.68,14580000000.0,5.44,800.22
2012-02-20,800.22,799.6,801.66,796.53,1400000.0,0.67,794.86,782.79,797.02,773.24,6560000000.0,1.75,757.45,727.22,757.45,722.68,14580000000.0,5.44,803.66
2012-02-21,803.66,802.46,806.04,799.97,1020000.0,0.43,794.86,782.79,797.02,773.24,6560000000.0,1.75,757.45,727.22,757.45,722.68,14580000000.0,5.44,801.59
2012-02-22,801.59,806.61,809.71,801.38,5850000000.0,-0.26,794.86,782.79,797.02,773.24,6560000000.0,1.75,757.45,727.22,757.45,722.68,14580000000.0,5.44,803.61
2012-02-23,803.61,802.97,805.36,795.03,976320000.0,0.25,794.86,782.79,797.02,773.24,6560000000.0,1.75,757.45,727.22,757.45,722.68,14580000000.0,5.44,808.27
2012-02-24,808.27,806.13,809.32,804.66,698350000.0,0.58,794.86,782.79,797.02,773.24,6560000000.0,1.75,757.45,727.22,757.45,722.68,14580000000.0,5.44,799.19
2012-02-27,799.19,809.13,810.04,797.64,701400000.0,-1.12,808.27,799.6,809.71,795.03,9950000000.0,1.69,757.45,727.22,757.45,722.68,14580000000.0,5.44,807.69
2012-02-28,807.69,801.04,807.69,798.49,612980000.0,1.06,808.27,799.6,809.71,795.03,9950000000.0,1.69,757.45,727.22,757.45,722.68,14580000000.0,5.44,818.78
2012-02-29,818.78,810.78,818.78,810.29,1090000000.0,1.37,808.27,799.6,809.71,795.03,9950000000.0,1.69,757.45,727.22,757.45,722.68,14580000000.0,5.44,821.96
2012-03-01,821.96,817.39,823.2,815.57,1400000000.0,0.39,808.27,799.6,809.71,795.03,9950000000.0,1.69,818.78,756.55,818.78,753.02,28380000000.0,8.1,821.18
2012-03-02,821.18,825.27,827.85,820.56,1140000000.0,-0.09,808.27,799.6,809.71,795.03,9950000000.0,1.69,818.78,756.55,818.78,753.02,28380000000.0,8.1,814.68
2012-03-05,814.68,818.9,819.58,813.77,753750000.0,-0.79,821.18,809.13,827.85,797.64,4930000000.0,1.6,818.78,756.55,818.78,753.02,28380000000.0,8.1,810.79
2012-03-06,810.79,812.25,816.16,808.54,771010000.0,-0.48,821.18,809.13,827.85,797.64,4930000000.0,1.6,818.78,756.55,818.78,753.02,28380000000.0,8.1,823.07
2012-03-08,823.07,813.49,823.07,813.21,1510000000.0,1.51,821.18,809.13,827.85,797.64,4930000000.0,1.6,818.78,756.55,818.78,753.02,28380000000.0,8.1,814.89
2012-03-09,814.89,824.41,824.94,814.89,1910000000.0,-0.99,821.18,809.13,827.85,797.64,4930000000.0,1.6,818.78,756.55,818.78,753.02,28380000000.0,8.1,807.65
2012-03-12,807.65,817.53,820.02,804.49,1180000000.0,-0.89,814.89,818.9,824.94,808.54,4950000000.0,-0.77,818.78,756.55,818.78,753.02,28380000000.0,8.1,809.97
2012-03-13,809.97,812.13,813.09,802.71,1370000000.0,0.29,814.89,818.9,824.94,808.54,4950000000.0,-0.77,818.78,756.55,818.78,753.02,28380000000.0,8.1,818.14
2012-03-14,818.14,817.35,820.98,813.18,1020000000.0,1.01,814.89,818.9,824.94,808.54,4950000000.0,-0.77,818.78,756.55,818.78,753.02,28380000000.0,8.1,823.39
